Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,121,8,Some Random Commen with Id 0
1,0,6,188,7,Some Random Commen with Id 1
2,0,6,95,5,Some Random Commen with Id 2
3,0,6,26,6,Some Random Commen with Id 3
4,0,6,189,8,Some Random Commen with Id 4
5,0,6,162,4,Some Random Commen with Id 5
6,1,2,178,0,Some Random Commen with Id 6
7,1,2,40,2,Some Random Commen with Id 7
8,1,2,195,4,Some Random Commen with Id 8
9,2,9,125,6,Some Random Commen with Id 9
10,2,9,96,9,Some Random Commen with Id 10
11,2,9,160,5,Some Random Commen with Id 11
12,2,9,196,4,Some Random Commen with Id 12
13,2,9,58,0,Some Random Commen with Id 13
14,2,9,47,5,Some Random Commen with Id 14
15,2,9,157,2,Some Random Commen with Id 15
16,2,9,177,7,Some Random Commen with Id 16
17,2,9,88,4,Some Random Commen with Id 17
18,3,1,157,0,Some Random Commen with Id 18
19,3,1,100,7,Some Random Commen with Id 19
20,3,1,179,1,Some Random Commen with Id 20
21,3,1,188,8,Some Random Commen with Id 21
22,3,1,162,0,Some Random Commen with Id 22
23,3,1,116,0,Some Random Commen with Id 23
24,3,1,27,4,Some Random Commen with Id 24
25,3,1,149,8,Some Random Commen with Id 25
26,3,1,138,0,Some Random Commen with Id 26
27,4,0,20,2,Some Random Commen with Id 27
28,4,0,75,6,Some Random Commen with Id 28
29,4,0,114,2,Some Random Commen with Id 29
30,5,4,184,8,Some Random Commen with Id 30
31,5,4,104,3,Some Random Commen with Id 31
32,5,4,191,6,Some Random Commen with Id 32
33,5,4,60,8,Some Random Commen with Id 33
34,5,4,182,2,Some Random Commen with Id 34
35,5,4,153,2,Some Random Commen with Id 35
36,5,4,136,5,Some Random Commen with Id 36
37,5,4,126,3,Some Random Commen with Id 37
38,6,6,164,8,Some Random Commen with Id 38
39,6,6,13,7,Some Random Commen with Id 39
40,6,6,142,1,Some Random Commen with Id 40
41,6,6,58,3,Some Random Commen with Id 41
42,6,6,90,7,Some Random Commen with Id 42
43,6,6,162,0,Some Random Commen with Id 43
44,7,3,127,6,Some Random Commen with Id 44
45,9,0,112,7,Some Random Commen with Id 45
46,9,0,185,1,Some Random Commen with Id 46
47,10,7,42,9,Some Random Commen with Id 47
48,10,7,108,7,Some Random Commen with Id 48
49,10,7,106,3,Some Random Commen with Id 49
50,10,7,169,3,Some Random Commen with Id 50
51,10,7,45,5,Some Random Commen with Id 51
52,10,7,17,6,Some Random Commen with Id 52
53,10,7,122,4,Some Random Commen with Id 53
54,11,0,95,0,Some Random Commen with Id 54
55,11,0,120,9,Some Random Commen with Id 55
56,11,0,56,8,Some Random Commen with Id 56
57,12,8,167,4,Some Random Commen with Id 57
58,12,8,36,7,Some Random Commen with Id 58
59,12,8,7,3,Some Random Commen with Id 59
60,12,8,61,1,Some Random Commen with Id 60
61,12,8,28,6,Some Random Commen with Id 61
62,12,8,108,5,Some Random Commen with Id 62
63,12,8,177,7,Some Random Commen with Id 63
64,14,5,111,9,Some Random Commen with Id 64
65,15,6,72,2,Some Random Commen with Id 65
66,15,6,47,0,Some Random Commen with Id 66
67,15,6,86,9,Some Random Commen with Id 67
68,15,6,199,8,Some Random Commen with Id 68
69,15,6,90,2,Some Random Commen with Id 69
70,16,2,117,5,Some Random Commen with Id 70
71,16,2,156,1,Some Random Commen with Id 71
72,16,2,188,5,Some Random Commen with Id 72
73,16,2,145,3,Some Random Commen with Id 73
74,16,2,169,8,Some Random Commen with Id 74
75,17,7,162,3,Some Random Commen with Id 75
76,17,7,58,3,Some Random Commen with Id 76
77,17,7,106,6,Some Random Commen with Id 77
78,17,7,150,9,Some Random Commen with Id 78
79,17,7,182,0,Some Random Commen with Id 79
80,17,7,196,3,Some Random Commen with Id 80
81,17,7,58,3,Some Random Commen with Id 81
82,17,7,184,8,Some Random Commen with Id 82
83,18,2,195,7,Some Random Commen with Id 83
84,18,2,37,2,Some Random Commen with Id 84
85,19,3,115,5,Some Random Commen with Id 85
86,20,9,103,9,Some Random Commen with Id 86
87,20,9,141,1,Some Random Commen with Id 87
88,21,7,120,3,Some Random Commen with Id 88
89,21,7,184,4,Some Random Commen with Id 89
90,21,7,50,3,Some Random Commen with Id 90
91,21,7,39,1,Some Random Commen with Id 91
92,21,7,10,9,Some Random Commen with Id 92
93,21,7,98,2,Some Random Commen with Id 93
94,21,7,56,8,Some Random Commen with Id 94
95,21,7,53,2,Some Random Commen with Id 95
96,22,9,105,9,Some Random Commen with Id 96
97,22,9,189,0,Some Random Commen with Id 97
98,23,7,16,7,Some Random Commen with Id 98
99,23,7,170,6,Some Random Commen with Id 99
100,23,7,105,9,Some Random Commen with Id 100
101,23,7,97,5,Some Random Commen with Id 101
102,23,7,83,3,Some Random Commen with Id 102
103,23,7,116,4,Some Random Commen with Id 103
104,24,7,118,5,Some Random Commen with Id 104
105,24,7,63,4,Some Random Commen with Id 105
106,24,7,137,1,Some Random Commen with Id 106
107,24,7,146,6,Some Random Commen with Id 107
108,24,7,144,9,Some Random Commen with Id 108
109,24,7,41,7,Some Random Commen with Id 109
110,24,7,5,0,Some Random Commen with Id 110
111,24,7,72,9,Some Random Commen with Id 111
112,24,7,155,0,Some Random Commen with Id 112
113,26,9,114,3,Some Random Commen with Id 113
114,26,9,173,2,Some Random Commen with Id 114
115,26,9,94,0,Some Random Commen with Id 115
116,26,9,66,1,Some Random Commen with Id 116
117,27,7,168,7,Some Random Commen with Id 117
118,27,7,173,7,Some Random Commen with Id 118
119,27,7,139,1,Some Random Commen with Id 119
120,27,7,146,8,Some Random Commen with Id 120
121,27,7,198,4,Some Random Commen with Id 121
122,27,7,83,4,Some Random Commen with Id 122
123,28,3,99,2,Some Random Commen with Id 123
124,28,3,100,4,Some Random Commen with Id 124
125,29,3,126,5,Some Random Commen with Id 125
126,29,3,19,6,Some Random Commen with Id 126
127,29,3,167,4,Some Random Commen with Id 127
128,29,3,111,5,Some Random Commen with Id 128
129,29,3,5,3,Some Random Commen with Id 129
130,29,3,181,5,Some Random Commen with Id 130
131,30,1,65,6,Some Random Commen with Id 131
132,31,0,133,0,Some Random Commen with Id 132
133,31,0,12,9,Some Random Commen with Id 133
134,31,0,91,3,Some Random Commen with Id 134
135,31,0,86,6,Some Random Commen with Id 135
136,31,0,9,2,Some Random Commen with Id 136
137,32,1,2,3,Some Random Commen with Id 137
138,32,1,104,7,Some Random Commen with Id 138
139,32,1,168,0,Some Random Commen with Id 139
140,32,1,82,0,Some Random Commen with Id 140
141,32,1,160,9,Some Random Commen with Id 141
142,32,1,115,7,Some Random Commen with Id 142
143,32,1,54,3,Some Random Commen with Id 143
144,33,6,15,5,Some Random Commen with Id 144
145,34,4,102,0,Some Random Commen with Id 145
146,34,4,53,1,Some Random Commen with Id 146
147,34,4,118,3,Some Random Commen with Id 147
148,34,4,106,9,Some Random Commen with Id 148
149,34,4,118,4,Some Random Commen with Id 149
150,34,4,51,3,Some Random Commen with Id 150
151,34,4,98,5,Some Random Commen with Id 151
152,34,4,151,2,Some Random Commen with Id 152
153,34,4,190,1,Some Random Commen with Id 153
154,35,3,109,8,Some Random Commen with Id 154
155,35,3,63,3,Some Random Commen with Id 155
156,35,3,80,8,Some Random Commen with Id 156
157,35,3,166,9,Some Random Commen with Id 157
158,36,7,163,6,Some Random Commen with Id 158
159,36,7,145,2,Some Random Commen with Id 159
160,36,7,38,4,Some Random Commen with Id 160
161,36,7,55,0,Some Random Commen with Id 161
162,36,7,86,2,Some Random Commen with Id 162
163,37,8,161,2,Some Random Commen with Id 163
164,37,8,2,5,Some Random Commen with Id 164
165,37,8,119,8,Some Random Commen with Id 165
166,37,8,168,6,Some Random Commen with Id 166
167,37,8,189,9,Some Random Commen with Id 167
168,37,8,68,0,Some Random Commen with Id 168
169,37,8,125,5,Some Random Commen with Id 169
170,37,8,128,4,Some Random Commen with Id 170
171,37,8,178,1,Some Random Commen with Id 171
172,38,8,177,1,Some Random Commen with Id 172
173,38,8,194,0,Some Random Commen with Id 173
174,39,5,156,8,Some Random Commen with Id 174
175,39,5,7,3,Some Random Commen with Id 175
176,39,5,198,9,Some Random Commen with Id 176
177,39,5,92,1,Some Random Commen with Id 177
178,39,5,78,3,Some Random Commen with Id 178
179,39,5,180,4,Some Random Commen with Id 179
180,39,5,154,0,Some Random Commen with Id 180
181,39,5,37,2,Some Random Commen with Id 181
